rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
125,Vrije Universiteit Amsterdam,31704,19.2,18,57,64.7,40.4,51.0,93.4,91.5,84.3,"De Boelelaan 1105, Amsterdam, 1081 HV, Netherlands",,,,,
126,Technical University of Denmark,10410,7.7,28,32,64.6,50.7,47.4,83.2,99.7,92.2,"Anker Engelunds Vej 1, Bygning 101A, Kongens Lyngby, 2800, Denmark",,,,,
127,University of Oslo,20967,12.5,15,66,64.3,45.6,50.6,92.1,72.3,75.6,"P.O. Box 1072, Blindern, Oslo, 0316, Norway",,,,,
128,University of Freiburg,19417,34.4,17,53,64.1,46.7,51.3,86.2,100.0,74.2,"Friedrichstr 39, Freiburg, Baden Wurttemberg, 79098, Germany",,,,,
129,University of Leeds,33450,14.4,32,59,63.9,46.1,49.1,87.3,68.8,94.6,"Woodhouse Lane, Leeds, LS2 9JT, United Kingdom",,,,,
=130,University of Nottingham,33520,16.0,27,54,63.8,45.6,45.9,90.6,71.2,92.8,"University Park, Nottingham, Nottinghamshire, NG7 2RD, United Kingdom",,,,,
=130,Tohoku University,17409,11.8,12,28,63.8,67.8,66.4,53.8,99.9,58.5,"2-1-1 Katahira, Aoba-ku, Sendai, Miyagi, 980-8577, Japan",,,,,
132,University of Florida,48114,16.7,9,56,63.7,55.5,56.7,78.3,88.9,50.9,"Gainesville, Florida, 32611, United States",,,,,
133,University of Rochester,9855,7.3,34,50,63.6,50.8,42.9,88.3,89.0,81.7,"500 Joseph C. Wilson Blvd., Rochester, New York, 14627, United States",,,,,
134,Trinity College Dublin,18778,22.2,34,61,63.2,44.0,48.4,87.6,76.6,91.4,,,,,,
135,Queen Mary University of London,22205,14.6,45,54,63.1,37.6,42.6,97.9,73.9,98.1,"27 Mile End Rd, Bethnal Green, London, Tower Hamlets, E1 4NS, United Kingdom",,,,,
=136,University of Hamburg,29240,58.5,13,58,63.0,44.7,53.3,84.8,98.6,65.7,"Mittelweg 177, Hamburg, 20148, Germany",,,,,
=136,Technical University of Berlin,20425,49.6,29,35,63.0,47.8,55.6,78.1,99.9,71.3,"Strasse des 17. Juni 135, Berlin, Brandenburg, 10623, Germany",,,,,
=138,University of Colorado Boulder,35844,16.5,8,45,62.9,46.5,51.9,88.6,82.8,56.6,"Boulder, Colorado, 80309, United States",,,,,
=138,Maastricht University,21337,19.6,57,60,62.9,41.4,47.1,86.1,98.1,97.4,"Postbus 616, Maastricht, Limburg Province, 6200 MD, Netherlands",,,,,
=140,Karlsruhe Institute of Technology,21448,20.5,25,29,62.8,49.9,56.8,72.5,99.9,77.6,"Kaiserstraße 12, Karlsruhe, 76131, Germany",,,,,
=140,Radboud University Nijmegen,23004,18.2,12,57,62.8,39.1,51.0,91.3,81.4,77.7,"Houtlaan 4, Nijmegen, Gelderlandand, 6525, Netherlands",,,,,
